,link_to_restaurant,restaurant_name,category,review_count
39,https://www.yelp.fr/biz/le-zinc-du-16-paris,Le Zinc du 16,Bistrot,2
40,https://www.yelp.fr/biz/culture-cr%C3%AApes-paris,Culture Crêpes,Crêperies,30
41,https://www.yelp.fr/biz/nadia-paris,Nadia,Crêperies,8
42,https://www.yelp.fr/biz/tu-fais-ta-cr%C3%AApe-paris-2,Tu Fais ta Crêpe,Crêperies,2
43,https://www.yelp.fr/biz/oyez-p-axoa-paris,Oyez...! P’axoa,Basque,2
44,https://www.yelp.fr/biz/fulano-paris,Fulano,Argentin,1
45,https://www.yelp.fr/biz/unico-paris-4,Unico,Argentin,2
46,https://www.yelp.fr/biz/signature-montmartre-paris-2,Signature Montmartre,Cuisine fusion asiatique,13
47,https://www.yelp.fr/biz/coin-op-table-paris,Coin-Op Table,Cuisine fusion asiatique,4
48,https://www.yelp.fr/biz/baoli-bao-paris-3,Baoli Bao,Cuisine fusion asiatique,1
49,https://www.yelp.fr/biz/la-bibimerie-restaurant-cor%C3%A9en-paris,La Bibimerie - Restaurant Coréen,Cuisine fusion asiatique,2
50,https://www.yelp.fr/biz/frenchytaste-paris,FrenchyTaste,Cuisine fusion asiatique,3
51,https://www.yelp.fr/biz/healing-paris,Healing,Cafés,2
52,https://www.yelp.fr/biz/oh-de-lally-paris,Oh de Lally,Cafés,1
53,https://www.yelp.fr/biz/le-pr%C3%A9-paris-2,Le Pré,Cafés,3
54,https://www.yelp.fr/biz/grand-bay-caf%C3%A9-paris,Grand Bay Café,Cafés,4
55,https://www.yelp.fr/biz/les-d%C3%A9lices-du-fournil-paris-4,Les Délices du Fournil,Cafés,48
56,https://www.yelp.fr/biz/restaurant-apollo-roissy-en-france,Restaurant Apollo,Buffet,2
57,https://www.yelp.fr/biz/meating-corner-paris,Meating Corner,Burger,1
58,https://www.yelp.fr/biz/le-tub-paris,Le TUB,Burger,1
59,https://www.yelp.fr/biz/mc-pepper-paris,MC Pepper,Burger,1
60,https://www.yelp.fr/biz/b-et-m-paris-4,B&M,Burger,9
61,https://www.yelp.fr/biz/le-continent-paris,Le Continent,Cuisine africaine,1
62,https://www.yelp.fr/biz/yankey-paris-3,Yankey,Cuisine africaine,1
63,https://www.yelp.fr/biz/green-mambo-montreuil,Green Mambo,Cuisine africaine,1
64,https://www.yelp.fr/biz/l-alsacien-paris,L’Alsacien,Alsacien,66
65,https://www.yelp.fr/biz/au-bretzel-paris,Au Bretzel,Alsacien,24
66,https://www.yelp.fr/biz/le-ballon-d-alsace-courbevoie,Le Ballon d’Alsace,Alsacien,1
67,https://www.yelp.fr/biz/petit-bofinger-bastille-paris-2,Petit Bofinger - Bastille,Alsacien,17
68,https://www.yelp.fr/biz/brasserie-bofinger-paris,Brasserie Bofinger,Alsacien,233
69,https://www.yelp.fr/biz/flams-paris-5,Flam’s,Alsacien,79
70,https://www.yelp.fr/biz/la-compagnie-des-cr%C3%AApes-paris-4,La Compagnie des Crêpes,Alsacien,80
71,https://www.yelp.fr/biz/mama-jackson-paris-2,Mama Jackson,Américain traditionnel ,34
72,https://www.yelp.fr/biz/blend-paris-29,Blend,Américain traditionnel ,1
73,https://www.yelp.fr/biz/melt-oberkampf-paris-4,MELT OBERKAMPF,Américain traditionnel ,30
74,https://www.yelp.fr/biz/gumbo-yaya-paris,Gumbo Yaya,Américain traditionnel ,65
75,https://www.yelp.fr/biz/blend-paris-26,Blend,Américain traditionnel ,240
76,https://www.yelp.fr/biz/the-beast-paris,The Beast,Américain traditionnel ,86
77,https://www.yelp.fr/biz/frog-revolution-paris,Frog Revolution,Américain traditionnel ,58
78,https://www.yelp.fr/biz/schwartzs-deli-paris-5,Schwartz’s Deli,Américain traditionnel ,51
79,https://www.yelp.fr/biz/231-east-street-paris-5,231 East Street,Américain traditionnel ,12
80,https://www.yelp.fr/biz/brooklyn-caf%C3%A9-paris,Brooklyn Café,Américain traditionnel ,34
81,https://www.yelp.fr/biz/shiso-burger-paris-2,Shiso Burger,Américain traditionnel ,86
82,https://www.yelp.fr/biz/harpers-paris-21,Harper’s,Américain traditionnel ,12
83,https://www.yelp.fr/biz/231-east-street-paris-6,231 East Street,Américain traditionnel ,51
84,https://www.yelp.fr/biz/the-great-canadian-paris,The Great Canadian,Américain traditionnel ,92
85,https://www.yelp.fr/biz/joe-burger-paris,Joe Burger,Américain traditionnel ,5
86,https://www.yelp.fr/biz/joe-allen-paris,Joe Allen,Américain traditionnel ,151
87,https://www.yelp.fr/biz/savannah-coffee-paris,Savannah Coffee,Américain traditionnel ,34
88,https://www.yelp.fr/biz/dr-feelgood-les-halles-paris,Dr Feelgood Les Halles,Américain traditionnel ,2
89,https://www.yelp.fr/biz/h-a-n-d-paris-2,H.A.N.D,Américain traditionnel ,136
90,https://www.yelp.fr/biz/marcel-paris-5,Marcel,Américain traditionnel ,8
91,https://www.yelp.fr/biz/the-frog-et-underground-paris,The Frog & Underground,Américain traditionnel ,37
92,https://www.yelp.fr/biz/lilis-brownies-paris-2,Lili’s Brownies,Américain traditionnel ,26
93,https://www.yelp.fr/biz/bagels-and-brownies-paris,Bagels and Brownies,Américain traditionnel ,57
94,https://www.yelp.fr/biz/la-factory-issy-les-moulineaux,La Factory,Américain traditionnel ,6
95,https://www.yelp.fr/biz/chibbys-diner-paris,Chibby’s Diner,Américain traditionnel ,98
96,https://www.yelp.fr/biz/the-grilled-cheese-factory-paris,The Grilled Cheese Factory,Américain traditionnel ,68
97,https://www.yelp.fr/biz/cantine-california-paris,Cantine California,Américain traditionnel ,45
98,https://www.yelp.fr/biz/mamie-burger-paris,Mamie Burger,Américain traditionnel ,68
99,https://www.yelp.fr/biz/garnett-paris,Garnett,Américain traditionnel ,11
100,https://www.yelp.fr/biz/ap%C3%A9rock-paris-2,ApéRock,Américain traditionnel ,4
101,https://www.yelp.fr/biz/paperboy-paris,Paperboy,Américain traditionnel ,92
102,https://www.yelp.fr/biz/little-apple-paris,Little Apple,Américain traditionnel ,13
103,https://www.yelp.fr/biz/cheesers-paris,Cheesers,Américain traditionnel ,4
104,https://www.yelp.fr/biz/pret-a-manger-paris-15,Pret A Manger,Petit déjeuner & brunch,3
105,https://www.yelp.fr/biz/cuppa-paris,Cuppa,Petit déjeuner & brunch,16
106,https://www.yelp.fr/biz/sunny-paris,Sunny,Petit déjeuner & brunch,3
107,https://www.yelp.fr/biz/fluctuart-paris,Fluctuart,Petit déjeuner & brunch,1
108,https://www.yelp.fr/biz/caf%C3%A9-blanc-paris-7,Café Blanc,Petit déjeuner & brunch,32
109,https://www.yelp.fr/biz/culott%C3%A9e-paris,Culottée,Petit déjeuner & brunch,1
110,https://www.yelp.fr/biz/cerealiste-paris-4,Cerealiste,Petit déjeuner & brunch,2
111,https://www.yelp.fr/biz/caf%C3%A9-pavane-paris,Café Pavane,Petit déjeuner & brunch,1
112,https://www.yelp.fr/biz/46-et-3rd-paris-2,46 & 3rd,Petit déjeuner & brunch,4
113,https://www.yelp.fr/biz/le-forty-one-paris,Le Forty-One,Brasseries,1
114,https://www.yelp.fr/biz/chez-clara-paris,Chez Clara,Brasseries,2
115,https://www.yelp.fr/biz/n-et-c-brasserie-paris,N & C Brasserie,Brasseries,1
116,https://www.yelp.fr/biz/limon-paris,Limon,Brasseries,1
117,https://www.yelp.fr/biz/la-cantine-de-gaston-paris,La Cantine de Gaston,Bistrot,1
118,https://www.yelp.fr/biz/lucien-paris-3,Lucien,Bistrot,2
119,https://www.yelp.fr/biz/de-voltaire-%C3%A0-rousseau-paris-2,De Voltaire à Rousseau,Bistrot,1
120,https://www.yelp.fr/biz/la-bulle-parisienne-paris,La Bulle Parisienne,Bistrot,3
121,https://www.yelp.fr/biz/bistro-ernest-paris,Bistro Ernest,Bistrot,8
122,https://www.yelp.fr/biz/tradi-paris,Tradi,Bistrot,8
